"ano_q","ibge_id_q","municipio","dependencia_id_q","ciclo_id_q","nota_mt_q","nota_lp_q","ideb_q","aprovacao_q","abandono_q","see","idh_municipal","idh_renda","idh_longevidade","idh_educacao","infra","see_idh_educacao"
"2015","5100102","Acorizal","Estadual","AI",1.89703728737186,3.32945961650203,5.2,100,0,1,0.628,0.594,0.816,0.51,9,0.51
"2015","5100102","Acorizal","Estadual","AF",2.7989337395278,3.6388853864582,4.2,98.7,1.3,1,0.628,0.594,0.816,0.51,8,0.51
"2015","5100102","Acorizal","Municipal","AI",2.55798086436614,3.72000652304842,4.2,100,0,0,0.628,0.594,0.816,0.51,4,0
"2015","5100102","Acorizal","Municipal","AF",3.98010930059921,4.25516038130221,4.2,100,0,0,0.628,0.594,0.816,0.51,4,0
"2017","5100102","Acorizal","Estadual","AI",1.80952380952381,2.82001924927815,5.1,100,0,1,0.628,0.594,0.816,0.51,8,0.51
"2017","5100102","Acorizal","Estadual","AF",3.29472693032015,4.04089581304771,4.3,94.6,0,1,0.628,0.594,0.816,0.51,6,0.51
"2017","5100102","Acorizal","Municipal","AI",2.55798086436614,3.72000652304842,4.3,50,0,0,0.628,0.594,0.816,0.51,4,0
"2017","5100102","Acorizal","Municipal","AF",3.98010930059921,4.25516038130221,4.3,0,0,0,0.628,0.594,0.816,0.51,6,0
"2019","5100102","Acorizal","Estadual","AI",3.71387283236994,5.08548931383577,5.4,100,0,1,0.628,0.594,0.816,0.51,7,0.51
"2019","5100102","Acorizal","Estadual","AF",4.6525181438311,4.13629589486519,4.2,74.5,0,1,0.628,0.594,0.816,0.51,7,0.51
"2019","5100102","Acorizal","Municipal","AI",2.55798086436614,3.72000652304842,4.2,0,0,0,0.628,0.594,0.816,0.51,5,0
"2019","5100102","Acorizal","Municipal","AF",3.98010930059921,4.25516038130221,4.2,0,0,0,0.628,0.594,0.816,0.51,6,0
"2021","5100102","Acorizal","Estadual","AI",2.53407253407253,3.26325206888839,4.7,100,0,1,0.628,0.594,0.816,0.51,8,0.51
